Transporteur;Gare origine;Gare origine - code UIC;Destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;LAMBALLE;87473108;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;94
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MORLAIX;87474338;1;Tarif Normal;26;159
TGV INOUI;BRIVE LA GAILLARDE;87594002;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29;138
TGV INOUI;BREST;87474007;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;26;164
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MORLAIX;87474338;2;Tarif Normal;20;99
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MONTAUBAN VILLE BOURBON;87611244;1;Tarif Normal;31;199
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AURAY;87476200;1;Tarif Normal;24;161
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;VANNES;87476606;1;Tarif Normal;24;157
TGV INOUI;CASTELNAUDARY;87615039;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;116
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AURAY;87476200;2;Tarif Normal;20;100
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST MALO;87478107;1;Tarif Normal;24;159
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;LE CREUSOT MONTCEAU MONTCHANIN;87694109;2;Tarif Normal;20;82
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;VANNES;87476606;2;Tarif Normal;20;97
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST MALO;87478107;2;Tarif Normal;20;95
TGV INOUI;DIJON VILLE;87713040;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;19;107
TGV INOUI;LAVAL;87478404;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;19;129
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST NAZAIRE;87481705;1;Tarif Normal;29;148
TGV INOUI;DOLE VILLE;87713412;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;79
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NANTES;87481002;2;Tarif Normal;20;88
TGV INOUI;PORNICHET;87481747;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29;148
TGV INOUI;BESANCON VIOTTE;87718007;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;132
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST NAZAIRE;87481705;2;Tarif Normal;25;88
TGV INOUI;JUVISY;87545244;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;55
TGV INOUI;BESANCON VIOTTE;87718007;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;83
TGV INOUI;ANGERS ST LAUD;87484006;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;124
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST PIERRE DES CORPS;87571240;2;Tarif Normal;15;65
TGV INOUI;MOUCHARD;87718833;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;126
TGV INOUI;LORRAINE TGV;87142109;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;127
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NIORT;87485300;1;Tarif Normal;24;145
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;POITIERS;87575001;1;Tarif Normal;24;130
TGV INOUI;MACON LOCHE TGV;87725705;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;141
TGV INOUI;MULHOUSE VILLE;87182063;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;182
TGV INOUI;ST MAIXENT DEUX SEVRES;87485490;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;90
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;LIBOURNE;87584052;2;Tarif Normal;20;99
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ALBERTVILLE;87741645;1;Tarif Normal;31;181
TGV INOUI;DUNKERQUE;87281006;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;19;98
TGV INOUI;JUVISY TGV;87496695;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;35
TGV INOUI;AGEN;87586008;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;120
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AIME LA PLAGNE;87741769;1;Tarif Normal;31;189
TGV INOUI;LILLE FLANDRES;87286005;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;95
TGV INOUI;MANTES LA JOLIE TGV;87514596;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;35
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;TOULOUSE MATABIAU;87611004;1;Tarif Normal;31;199
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AIME LA PLAGNE;87741769;2;Tarif Normal;25;118
TGV INOUI;LILLE FLANDRES;87286005;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;63
TGV INOUI;JUVISY;87545244;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;35
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NIMES - MANDUEL;87688762;1;Tarif Normal;31;178
TGV INOUI;LANDRY;87741777;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;118
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Normal;24;149
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST PIERRE DES CORPS;87571240;1;Tarif Normal;17;103
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NIMES - MANDUEL;87688762;2;Tarif Normal;25;114
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;BOURG ST MAURICE;87741793;2;Tarif Normal;25;118
TGV INOUI;AIX EN PROVENCE TGV;87319012;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;187
TGV INOUI;BORDEAUX ST JEAN;87581009;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;111
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MONTPELLIER SUD DE FRANCE;87688887;1;Tarif Normal;31;184
TGV INOUI;MODANE;87742007;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;181
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MANTES LA JOLIE;87381509;1;Tarif Normal;17;55
TGV INOUI;ANGOULEME;87583005;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;153
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ECOLE VALENTIN;87710731;1;Tarif Normal;38;128
TGV INOUI;ST JEAN DE MAURIENNE ARVAN;87742320;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;111
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MANTES LA JOLIE;87381509;2;Tarif Normal;15;35
TGV INOUI;LIMOGES BENEDICTINS;87592006;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29;128
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ECOLE VALENTIN;87710731;2;Tarif Normal;34;83
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;BELLEGARDE;87745000;2;Tarif Normal;25;91
TGV INOUI;EVREUX - NORMANDIE;87387001;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;56
TGV INOUI;LIMOGES BENEDICTINS;87592006;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;88
TGV INOUI;DIJON VILLE;87713040;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;67
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;THONON LES BAINS;87745646;2;Tarif Normal;25;108
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MASSY PALAISEAU;87393579;1;Tarif Normal;17;55
TGV INOUI;LA SOUTERRAINE;87592378;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;80
TGV INOUI;MONTBARD;87713131;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;92
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MARSEILLE ST CHARLES;87751008;1;Tarif Normal;31;187
TGV INOUI;CAEN;87444000;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;80
TGV INOUI;CHATEAUROUX;87597005;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;69
TGV INOUI;LYON PART DIEU;87723197;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29;158
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;LES ARCS DRAGUIGNAN;87755447;2;Tarif Normal;25;132
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;LISIEUX;87444265;1;Tarif Normal;17;73
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;TOULOUSE MATABIAU;87611004;2;Tarif Normal;25;121
TGV INOUI;MACON LOCHE TGV;87725705;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;83
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST RAPHAEL VALESCURE;87757526;2;Tarif Normal;25;132
TGV INOUI;CHERBOURG;87444877;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;99
TGV INOUI;CARCASSONNE;87615286;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;30;116
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AIX LES BAINS LE REVARD;87741132;2;Tarif Normal;25;103
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;VALENCE VILLE;87761007;1;Tarif Normal;31;165
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST BRIEUC;87473009;1;Tarif Normal;24;157
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MONTPELLIER SUD DE FRANCE;87688887;2;Tarif Normal;25;114
TGV INOUI;MODANE;87742007;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;113
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;SETE;87773200;1;Tarif Normal;31;190
TGV INOUI;LAMBALLE;87473108;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;157
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;LE CREUSOT MONTCEAU MONTCHANIN;87694109;1;Tarif Normal;24;135
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;EVIAN LES BAINS;87745679;2;Tarif Normal;25;108
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NARBONNE;87781104;2;Tarif Normal;25;116
TGV INOUI;BREST;87474007;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;100
TGV INOUI;MONTBARD;87713131;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;57
TGV INOUI;LA ROCHE SUR FORON;87746305;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;50;173
TGV INOUI;LUNEVILLE;87141150;PARIS EST;87113001;1;Tarif Normal;24;136
TGV INOUI;QUIMPERLE;87476317;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;103
TGV INOUI;LYON PERRACHE;87722025;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29;158
TGV INOUI;CLUSES  74;87746370;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;191
TGV INOUI;LUNEVILLE;87141150;PARIS EST;87113001;2;Tarif Normal;20;82
TGV INOUI;LAVAL;87478404;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;78
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;160
TGV INOUI;CLUSES  74;87746370;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;119
TGV INOUI;PARIS EST;87113001;ST DIE DES VOSGES;87144014;2;Tarif Normal;25;86
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NANTES;87481002;1;Tarif Normal;24;147
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;103
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;SALLANCHES COMBLOUX MEGEVE;87746438;1;Tarif Normal;31;191
TGV INOUI;PARIS EST;87113001;REMIREMONT;87144451;2;Tarif Normal;25;87
TGV INOUI;LE CROISIC;87481788;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29;148
TGV INOUI;LANDRY;87741777;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;189
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST GERVAIS LES BAINS LE FAYET;87746479;2;Tarif Normal;25;119
TGV INOUI;PARIS EST;87113001;REIMS;87171009;2;Tarif Normal;15;44
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;SAVENAY;87481838;1;Tarif Normal;29;141
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;BOURG ST MAURICE;87741793;1;Tarif Normal;31;189
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;TOULON;87755009;1;Tarif Normal;31;191
TGV INOUI;PARIS EST;87113001;CHARLEVILLE MEZIERES;87172007;1;Tarif Normal;17;88
TGV INOUI;ANGERS ST LAUD;87484006;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;75
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ST MICHEL VALLOIRE;87742361;1;Tarif Normal;31;181
TGV INOUI;CANNES;87757625;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;218
TGV INOUI;PARIS EST;87113001;CHALONS EN CHAMPAGNE;87174003;1;Tarif Normal;17;71
TGV INOUI;LA ROCHELLE VILLE;87485003;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29;150
TGV INOUI;LA ROCHE SUR FORON;87746305;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;44;109
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ANTIBES;87757674;2;Tarif Normal;25;132
TGV INOUI;MULHOUSE VILLE;87182063;PARIS EST;87113001;2;Tarif Normal;20;114
TGV INOUI;LA ROCHELLE VILLE;87485003;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;94
